Date,Open,High,Low,Close,Adj Close,Volume
2020-04-03,7.560000,7.710000,6.260000,6.680000,6.680000,1649900
2020-04-06,7.110000,7.750000,7.110000,7.610000,7.610000,1230400
2020-04-07,8.300000,9.770000,7.825000,8.220000,8.220000,1551600
2020-04-08,8.500000,9.950000,8.400000,9.470000,9.470000,2151500
2020-04-09,9.900000,16.190001,9.872000,11.670000,11.670000,7732100
2020-04-13,12.660000,13.810000,10.421000,11.380000,11.380000,1660500
2020-04-14,12.360000,12.640000,10.830000,11.180000,11.180000,1095900
2020-04-15,10.500000,10.610000,9.600000,9.800000,9.800000,1854000
2020-04-16,9.700000,9.833000,8.100000,8.730000,8.730000,1811200
2020-04-17,9.600000,11.230000,9.250000,9.950000,9.950000,2003100
2020-04-20,9.270000,9.709000,8.310000,8.320000,8.320000,2537100
2020-04-21,8.010000,9.160000,7.765000,9.080000,9.080000,2300500
2020-04-22,9.320000,9.490000,8.270000,8.280000,8.280000,1357800
2020-04-23,8.360000,9.030000,8.250000,8.570000,8.570000,1118900
2020-04-24,8.600000,8.990000,8.250000,8.820000,8.820000,1188000
2020-04-27,9.000000,9.980000,8.970000,9.540000,9.540000,1414900
2020-04-28,10.170000,10.900000,9.810000,10.540000,10.540000,1343700
2020-04-29,11.590000,11.740000,10.640000,11.590000,11.590000,1626900
2020-04-30,11.030000,11.050000,10.420000,10.580000,10.580000,1056200
2020-05-01,10.080000,10.290000,9.000000,9.010000,9.010000,1086500
2020-05-04,8.600000,8.950000,7.925000,8.610000,8.610000,1821500
2020-05-05,8.970000,9.490000,8.260000,8.340000,8.340000,1650700
2020-05-06,8.540000,8.840000,7.680000,7.910000,7.910000,1866700
2020-05-07,8.000000,8.490000,7.830000,8.090000,8.090000,991100
2020-05-08,8.450000,9.420000,7.620000,8.160000,8.160000,3150800
2020-05-11,7.930000,8.440000,7.310000,8.140000,8.140000,2058100
2020-05-12,8.410000,8.590000,7.660000,7.670000,7.670000,1159900
2020-05-13,7.560000,7.700000,6.610000,6.670000,6.670000,2080900
2020-05-14,6.500000,6.940000,6.030000,6.790000,6.790000,1541800
2020-05-15,6.670000,7.080000,6.300000,6.920000,6.920000,1724500
2020-05-18,7.360000,7.690000,7.050000,7.510000,7.510000,1450100
2020-05-19,7.460000,7.550000,6.960000,7.140000,7.140000,1065400
2020-05-20,7.290000,7.950000,7.210000,7.630000,7.630000,1649600
2020-05-21,7.800000,8.380000,7.720000,7.840000,7.840000,1018100
2020-05-22,7.990000,7.990000,7.530000,7.810000,7.810000,709700
2020-05-26,8.170000,8.490000,7.880000,8.080000,8.080000,1300700
2020-05-27,8.500000,9.330000,8.220000,9.290000,9.290000,1428200
2020-05-28,9.900000,9.930000,8.555000,8.610000,8.610000,1431700
2020-05-29,8.250000,8.360000,7.670000,7.870000,7.870000,1044200
2020-06-01,7.900000,8.665000,7.790000,8.290000,8.290000,1315900
2020-06-02,8.450000,8.905000,8.310000,8.560000,8.560000,663000
2020-06-03,8.830000,10.170000,8.830000,10.040000,10.040000,1839500
2020-06-04,10.570000,12.860000,9.960000,12.290000,12.290000,3891200
2020-06-05,13.520000,16.200001,13.520000,15.520000,15.520000,5074100
2020-06-08,18.260000,24.059999,17.270000,21.240000,21.240000,8942000
2020-06-09,19.280001,20.820000,16.100000,16.379999,16.379999,3503000
2020-06-10,16.650000,16.750000,13.900000,15.360000,15.360000,2572800
2020-06-11,12.820000,14.338000,12.450000,12.500000,12.500000,1975600
2020-06-12,15.050000,15.350000,12.980000,13.910000,13.910000,2257400
2020-06-15,12.680000,14.210000,12.440000,13.840000,13.840000,1811400
2020-06-16,15.220000,16.180000,14.460000,14.570000,14.570000,1825800
2020-06-17,14.500000,14.580000,13.340000,13.340000,13.340000,1386600
2020-06-18,12.910000,13.529000,12.410000,13.190000,13.190000,1421000
2020-06-19,13.410000,13.510000,11.870000,11.940000,11.940000,3693400
2020-06-22,11.910000,11.920000,11.060000,11.660000,11.660000,1119300
2020-06-23,11.940000,12.270000,11.663000,12.230000,12.230000,886000
2020-06-24,11.680000,11.940000,10.350000,10.790000,10.790000,1859600
2020-06-25,10.320000,11.940000,10.120000,11.090000,11.090000,1297200
2020-06-26,10.810000,10.990000,10.430000,10.900000,10.900000,1094900
