Date,Open,High,Low,Close,Adj Close,Volume,Lagged_Close,MA_5_Close,Returns
2020-04-09,9.9,16.190001,9.872,11.67,11.67,7732100,9.47,8.73,0.23231256599788797
2020-04-13,12.66,13.81,10.421,11.38,11.38,1660500,11.67,9.67,-0.024850042844901332
2020-04-14,12.36,12.64,10.83,11.18,11.18,1095900,11.38,10.384,-0.017574692442882345
2020-04-15,10.5,10.61,9.6,9.8,9.8,1854000,11.18,10.700000000000001,-0.12343470483005359
2020-04-16,9.7,9.833,8.1,8.73,8.73,1811200,9.8,10.552,-0.10918367346938773
2020-04-17,9.6,11.23,9.25,9.95,9.95,2003100,8.73,10.208000000000002,0.13974799541809846
2020-04-20,9.27,9.709,8.31,8.32,8.32,2537100,9.95,9.596,-0.16381909547738682
2020-04-21,8.01,9.16,7.765,9.08,9.08,2300500,8.32,9.176,0.09134615384615374
2020-04-22,9.32,9.49,8.27,8.28,8.28,1357800,9.08,8.872,-0.08810572687224683
2020-04-23,8.36,9.03,8.25,8.57,8.57,1118900,8.28,8.84,0.035024154589372136
2020-04-24,8.6,8.99,8.25,8.82,8.82,1188000,8.57,8.614,0.029171528588098017
2020-04-27,9.0,9.98,8.97,9.54,9.54,1414900,8.82,8.858,0.08163265306122436
2020-04-28,10.17,10.9,9.81,10.54,10.54,1343700,9.54,9.15,0.10482180293501053
2020-04-29,11.59,11.74,10.64,11.59,11.59,1626900,10.54,9.812,0.09962049335863377
2020-04-30,11.03,11.05,10.42,10.58,10.58,1056200,11.59,10.213999999999999,-0.08714408973252807
2020-05-01,10.08,10.29,9.0,9.01,9.01,1086500,10.58,10.251999999999999,-0.1483931947069943
2020-05-04,8.6,8.95,7.925,8.61,8.61,1821500,9.01,10.065999999999999,-0.04439511653718098
2020-05-05,8.97,9.49,8.26,8.34,8.34,1650700,8.61,9.626,-0.03135888501742157
2020-05-06,8.54,8.84,7.68,7.91,7.91,1866700,8.34,8.89,-0.05155875299760193
2020-05-07,8.0,8.49,7.83,8.09,8.09,991100,7.91,8.392,0.022756005056890016
2020-05-08,8.45,9.42,7.62,8.16,8.16,3150800,8.09,8.222,0.008652657601977864
2020-05-11,7.93,8.44,7.31,8.14,8.14,2058100,8.16,8.128,-0.002450980392156854
2020-05-12,8.41,8.59,7.66,7.67,7.67,1159900,8.14,7.994,-0.057739557739557856
2020-05-13,7.56,7.7,6.61,6.67,6.67,2080900,7.67,7.7459999999999996,-0.13037809647979137
2020-05-14,6.5,6.94,6.03,6.79,6.79,1541800,6.67,7.486,0.01799100449775115
2020-05-15,6.67,7.08,6.3,6.92,6.92,1724500,6.79,7.2379999999999995,0.019145802650957222
2020-05-18,7.36,7.69,7.05,7.51,7.51,1450100,6.92,7.111999999999999,0.08526011560693636
2020-05-19,7.46,7.55,6.96,7.14,7.14,1065400,7.51,7.006,-0.04926764314247667
2020-05-20,7.29,7.95,7.21,7.63,7.63,1649600,7.14,7.197999999999999,0.06862745098039214
2020-05-21,7.8,8.38,7.72,7.84,7.84,1018100,7.63,7.4079999999999995,0.02752293577981657
2020-05-22,7.99,7.99,7.53,7.81,7.81,709700,7.84,7.586,-0.003826530612244916
2020-05-26,8.17,8.49,7.88,8.08,8.08,1300700,7.81,7.7,0.03457106274007682
2020-05-27,8.5,9.33,8.22,9.29,9.29,1428200,8.08,8.129999999999999,0.14975247524752455
2020-05-28,9.9,9.93,8.555,8.61,8.61,1431700,9.29,8.326,-0.07319698600645852
2020-05-29,8.25,8.36,7.67,7.87,7.87,1044200,8.61,8.331999999999999,-0.08594657375145176
2020-06-01,7.9,8.665,7.79,8.29,8.29,1315900,7.87,8.427999999999999,0.05336721728081306
2020-06-02,8.45,8.905,8.31,8.56,8.56,663000,8.29,8.524,0.03256936067551286
2020-06-03,8.83,10.17,8.83,10.04,10.04,1839500,8.56,8.674,0.1728971962616821
2020-06-04,10.57,12.86,9.96,12.29,12.29,3891200,10.04,9.41,0.22410358565737054
2020-06-05,13.52,16.200001,13.52,15.52,15.52,5074100,12.29,10.94,0.2628152969894224
2020-06-08,18.26,24.059999,17.27,21.24,21.24,8942000,15.52,13.530000000000001,0.36855670103092786
2020-06-09,19.280001,20.82,16.1,16.379999,16.379999,3503000,21.24,15.0939998,-0.22881360640301307
2020-06-10,16.65,16.75,13.9,15.36,15.36,2572800,16.379999,16.157999800000002,-0.06227100502265004
2020-06-11,12.82,14.338,12.45,12.5,12.5,1975600,15.36,16.1999998,-0.18619791666666663
2020-06-12,15.05,15.35,12.98,13.91,13.91,2257400,12.5,15.877999800000001,0.11280000000000001
2020-06-15,12.68,14.21,12.44,13.84,13.84,1811400,13.91,14.3979998,-0.005032350826743359
2020-06-16,15.22,16.18,14.46,14.57,14.57,1825800,13.84,14.036000000000001,0.05274566473988451
2020-06-17,14.5,14.58,13.34,13.34,13.34,1386600,14.57,13.632,-0.08442004118050794
2020-06-18,12.91,13.529,12.41,13.19,13.19,1421000,13.34,13.770000000000001,-0.011244377811094441
2020-06-19,13.41,13.51,11.87,11.94,11.94,3693400,13.19,13.376,-0.09476876421531466
2020-06-22,11.91,11.92,11.06,11.66,11.66,1119300,11.94,12.939999999999998,-0.02345058626465657
2020-06-23,11.94,12.27,11.663,12.23,12.23,886000,11.66,12.472,0.048885077186964
2020-06-24,11.68,11.94,10.35,10.79,10.79,1859600,12.23,11.962,-0.11774325429272292
2020-06-25,10.32,11.94,10.12,11.09,11.09,1297200,10.79,11.542,0.027803521779425466
2020-06-26,10.81,10.99,10.43,10.9,10.9,1094900,11.09,11.334,-0.017132551848512145
2020-06-29,11.16,12.01,10.5,11.68,11.68,1049600,10.9,11.338,0.07155963302752277
2020-06-30,11.56,11.98,11.18,11.4,11.4,698700,11.68,11.172,-0.023972602739726012
2020-07-01,11.26,12.4,11.26,11.55,11.55,838400,11.4,11.324000000000002,0.013157894736842035
2020-07-02,12.04,12.44,11.13,11.36,11.36,966200,11.55,11.378,-0.016450216450216604
2020-07-06,11.7,11.7,10.8,11.04,11.04,1192000,11.36,11.406,-0.028169014084507116
2020-07-07,10.8,10.91,10.43,10.44,10.44,651100,11.04,11.158,-0.05434782608695654
2020-07-08,10.44,10.76,10.05,10.62,10.62,992500,10.44,11.002,0.01724137931034475
2020-07-09,10.6,10.65,9.55,9.85,9.85,1373400,10.62,10.661999999999999,-0.07250470809792842
2020-07-10,9.75,10.29,9.51,10.19,10.19,730800,9.85,10.428,0.034517766497461855
2020-07-13,10.36,10.72,9.82,10.08,10.08,790600,10.19,10.236,-0.01079489695780167
2020-07-14,10.05,10.17,9.67,9.85,9.85,778300,10.08,10.118,-0.022817460317460347
2020-07-15,10.54,11.15,10.16,10.76,10.76,1469600,9.85,10.145999999999999,0.09238578680203058
2020-07-16,10.33,10.62,9.91,10.19,10.19,753700,10.76,10.214,-0.05297397769516732
2020-07-17,10.24,10.37,9.98,10.15,10.15,898000,10.19,10.206,-0.003925417075564153
2020-07-20,10.18,10.37,9.55,9.66,9.66,750200,10.15,10.122,-0.0482758620689655
2020-07-21,9.88,10.26,9.8,9.97,9.97,641800,9.66,10.146,0.03209109730848869
2020-07-22,9.85,10.03,9.66,9.9,9.9,558400,9.97,9.974,-0.007021063189568744
2020-07-23,9.8,10.085,9.73,9.86,9.86,497500,9.9,9.908,-0.0040404040404041774
2020-07-24,9.8,9.926,9.56,9.63,9.63,541300,9.86,9.804,-0.0233265720081135
2020-07-27,9.6,9.61,8.69,9.45,9.45,1069100,9.63,9.762,-0.018691588785046842
2020-07-28,9.39,9.98,9.24,9.8,9.8,986700,9.45,9.728,0.0370370370370372
2020-07-29,9.85,10.12,9.46,10.1,10.1,604200,9.8,9.768,0.030612244897959107
2020-07-30,9.8,10.07,9.67,9.82,9.82,493500,10.1,9.760000000000002,-0.027722772277227636
2020-07-31,9.79,9.83,9.18,9.31,9.31,849500,9.82,9.696000000000002,-0.05193482688391038
2020-08-03,9.31,9.35,8.76,9.24,9.24,833300,9.31,9.654,-0.007518796992481258
2020-08-04,9.23,9.69,9.23,9.53,9.53,642100,9.24,9.6,0.031385281385281294
2020-08-05,9.91,9.96,9.39,9.7,9.7,722700,9.53,9.52,0.01783840503672618
2020-08-06,9.68,10.99,9.68,10.28,10.28,1445800,9.7,9.611999999999998,0.0597938144329897
2020-08-07,12.11,12.22,11.04,11.18,11.18,2407900,10.28,9.986,0.08754863813229585
2020-08-10,11.6,14.474,11.6,13.7,13.7,3868800,11.18,10.878,0.22540250447227184
2020-08-11,14.4,14.87,12.47,12.68,12.68,1875400,13.7,11.508,-0.0744525547445255
2020-08-12,13.01,13.07,12.045,12.5,12.5,799900,12.68,12.068000000000001,-0.014195583596214534
2020-08-13,12.39,13.29,12.16,12.23,12.23,1021300,12.5,12.458,-0.021599999999999953
2020-08-14,12.04,13.17,11.93,12.72,12.72,787200,12.23,12.766,0.040065412919051635
2020-08-17,12.72,12.86,12.265,12.58,12.58,566100,12.72,12.542,-0.011006289308176154
2020-08-18,12.46,12.65,12.23,12.4,12.4,658800,12.58,12.486,-0.014308426073131986
2020-08-19,12.4,13.42,12.22,12.76,12.76,878500,12.4,12.538,0.029032258064516148
2020-08-20,12.38,13.2,12.38,12.51,12.51,951800,12.76,12.594,-0.019592476489028177
2020-08-21,12.34,12.57,12.08,12.21,12.21,660000,12.51,12.492,-0.023980815347721784
2020-08-24,12.28,13.3,12.11,13.28,13.28,1042200,12.21,12.632,0.08763308763308753
2020-08-25,13.35,13.85,12.96,13.34,13.34,556900,13.28,12.819999999999999,0.004518072289156683
2020-08-26,13.1,13.71,12.695,12.88,12.88,730700,13.34,12.844,-0.03448275862068961
2020-08-27,12.86,13.902,12.86,13.43,13.43,913700,12.88,13.028,0.04270186335403725
2020-08-28,13.28,13.879,13.28,13.83,13.83,600400,13.43,13.352,0.02978406552494417
2020-08-31,14.0,14.27,13.43,14.03,14.03,1119500,13.83,13.502,0.014461315979754197
2020-09-01,13.91,15.22,13.51,14.86,14.86,1476000,14.03,13.806000000000001,0.05915894511760511
2020-09-02,15.08,15.18,14.6,15.14,15.14,1044300,14.86,14.258000000000001,0.018842530282638048
2020-09-03,15.26,15.97,14.51,14.98,14.98,1040100,15.14,14.568000000000001,-0.010568031704095149
2020-09-04,15.19,15.7,14.83,15.62,15.62,864600,14.98,14.925999999999998,0.042723631508678084
2020-09-08,15.41,15.84,15.03,15.67,15.67,753800,15.62,15.254,0.003201024327784907
